subject	roi	task	gardner
001	LO	attend-bar	0.7829503975881053
001	LO	attend-fix	0.6129404130971284
001	V1	attend-bar	0.6489081420517473
001	V1	attend-fix	0.6206993853071427
001	V2	attend-bar	0.7727306896080701
001	V2	attend-fix	0.6506852914227871
001	V3	attend-bar	0.695866674658993
001	V3	attend-fix	0.6915513594516238
001	V3AB	attend-bar	0.8023169318927557
001	V3AB	attend-fix	0.7240582252803707
001	VO	attend-bar	0.7549197618841366
001	VO	attend-fix	0.7123292170847014
001	hMT+	attend-bar	0.7063475689533929
001	hMT+	attend-fix	0.6406914633137146
001	iIPS	attend-bar	0.7101403393098952
001	iIPS	attend-fix	0.527053885730346
001	iPCS	attend-bar	0.6393005359077799
001	iPCS	attend-fix	0.44968739197208024
001	mPCS	attend-bar	0.5376041100326168
001	mPCS	attend-fix	0.5003768907288433
001	sIPS	attend-bar	0.6802897721255023
001	sIPS	attend-fix	0.5971441867030364
001	sPCS	attend-bar	0.6494458806292704
001	sPCS	attend-fix	0.4736760580698207
002	LO	attend-bar	0.5996448106958142
002	LO	attend-fix	0.5894278084872382
002	V1	attend-bar	0.6551402802791974
002	V1	attend-fix	0.6468087438856891
002	V2	attend-bar	0.5552996344556597
002	V2	attend-fix	0.6020457060886035
002	V3	attend-bar	0.6171398935601685
002	V3	attend-fix	0.6457277705038296
002	V3AB	attend-bar	0.5605293508897022
002	V3AB	attend-fix	0.5508187031150108
002	VO	attend-bar	0.6068793430423688
002	VO	attend-fix	0.6129856197439634
002	hMT+	attend-bar	0.5878943410618858
002	hMT+	attend-fix	0.5523109824264931
002	iIPS	attend-bar	0.520886119934185
002	iIPS	attend-fix	0.5235040525258339
002	iPCS	attend-bar	0.536421629260639
002	iPCS	attend-fix	0.5089827870900716
002	mPCS	attend-bar	0.5047923967045852
002	mPCS	attend-fix	0.5449363284242911
002	sIPS	attend-bar	0.5582367490389495
002	sIPS	attend-fix	0.5378825134835794
002	sPCS	attend-bar	0.5685145006748588
002	sPCS	attend-fix	0.4999766196933576
003	LO	attend-bar	0.7245096375094406
003	LO	attend-fix	0.5536146670890565
003	V1	attend-bar	0.7513188838710092
003	V1	attend-fix	0.7031334173895545
003	V2	attend-bar	0.8015952162238041
003	V2	attend-fix	0.4005847381196545
003	V3	attend-bar	0.7449740984260613
003	V3	attend-fix	0.5707314813089182
003	V3AB	attend-bar	0.6729735700818691
003	V3AB	attend-fix	0.6329647414475036
003	VO	attend-bar	0.6987827973182872
003	VO	attend-fix	0.6076379032722556
003	hMT+	attend-bar	0.6285959000423823
003	hMT+	attend-fix	0.5861633597456284
003	iIPS	attend-bar	0.640470297582523
003	iIPS	attend-fix	0.5743075863370761
003	iPCS	attend-bar	0.47458157577501137
003	iPCS	attend-fix	0.4564230719441501
003	mPCS	attend-bar	0.4058216995062229
003	mPCS	attend-fix	0.4422010796789149
003	sIPS	attend-bar	0.6934316640278331
003	sIPS	attend-fix	0.5710150702714362
003	sPCS	attend-bar	0.576576197665776
003	sPCS	attend-fix	0.5634603288827144
004	LO	attend-bar	0.714521918592059
004	LO	attend-fix	0.525025393745736
004	V1	attend-bar	0.5963830440785858
004	V1	attend-fix	0.6254938339045891
004	V2	attend-bar	0.6927394344002233
004	V2	attend-fix	0.588818763892475
004	V3	attend-bar	0.7352079351965507
004	V3	attend-fix	0.5174081076126728
004	V3AB	attend-bar	0.6890244558582678
004	V3AB	attend-fix	0.6010293665181409
004	VO	attend-bar	0.7961247821828745
004	VO	attend-fix	0.6531773900471803
004	hMT+	attend-bar	0.6888764644069223
004	hMT+	attend-fix	0.6336666264819866
004	iIPS	attend-bar	0.6778301716729861
004	iIPS	attend-fix	0.6059877362247029
004	iPCS	attend-bar	0.5424181516048789
004	iPCS	attend-fix	0.5058698082413825
004	mPCS	attend-bar	0.5496160614438702
004	mPCS	attend-fix	0.542166256040303
004	sIPS	attend-bar	0.5698392579508308
004	sIPS	attend-fix	0.5292049520151947
004	sPCS	attend-bar	0.5762585051970819
004	sPCS	attend-fix	0.5013700605109498
005	LO	attend-bar	0.5948770742018676
005	LO	attend-fix	0.5001662340130051
005	V1	attend-bar	0.7294989773482755
005	V1	attend-fix	0.6620988238373794
005	V2	attend-bar	0.7170687688151054
005	V2	attend-fix	0.6712012307442425
005	V3	attend-bar	0.6930946561921333
005	V3	attend-fix	0.6580964645050134
005	V3AB	attend-bar	0.5770553404052461
005	V3AB	attend-fix	0.593055082133942
005	VO	attend-bar	0.6963504867537496
005	VO	attend-fix	0.6161361056157163
005	hMT+	attend-bar	0.6013531222372854
005	hMT+	attend-fix	0.6183960568938286
005	iIPS	attend-bar	0.5181738000941054
005	iIPS	attend-fix	0.4130173581158905
005	iPCS	attend-bar	0.5042357812942898
005	iPCS	attend-fix	0.5201388748129911
005	mPCS	attend-bar	0.4947843075241932
005	mPCS	attend-fix	0.4250513716200174
005	sIPS	attend-bar	0.5912988962876224
005	sIPS	attend-fix	0.5320939390308581
005	sPCS	attend-bar	0.5555260448554412
005	sPCS	attend-fix	0.48417752066875513
006	LO	attend-bar	0.6986022438558683
006	LO	attend-fix	0.6126936192159372
006	V1	attend-bar	0.7371047685255689
006	V1	attend-fix	0.6367704840312652
006	V2	attend-bar	0.7816353167142754
006	V2	attend-fix	0.6972561115827247
006	V3	attend-bar	0.7716686252262114
006	V3	attend-fix	0.6402691676004408
006	V3AB	attend-bar	0.747102948550682
006	V3AB	attend-fix	0.6237241711720801
006	VO	attend-bar	0.6343919851735862
006	VO	attend-fix	0.6142280668874273
006	hMT+	attend-bar	0.523962088108539
006	hMT+	attend-fix	0.513469054667126
006	iIPS	attend-bar	0.7013769763689376
006	iIPS	attend-fix	0.5634380342252221
006	iPCS	attend-bar	0.5361496618156567
006	iPCS	attend-fix	0.50743219219938
006	mPCS	attend-bar	0.5026069476840337
006	mPCS	attend-fix	0.5176748995269361
006	sIPS	attend-bar	0.6289562673304504
006	sIPS	attend-fix	0.5206993358887044
006	sPCS	attend-bar	0.5499498313391482
006	sPCS	attend-fix	0.5237101287964139
007	LO	attend-bar	0.6826360327640015
007	LO	attend-fix	0.6611813541865678
007	V1	attend-bar	0.5466636828927897
007	V1	attend-fix	0.5266828367521207
007	V2	attend-bar	0.5371564328985413
007	V2	attend-fix	0.6197926706941456
007	V3	attend-bar	0.6686623902268268
007	V3	attend-fix	0.6310903632397097
007	V3AB	attend-bar	0.5962160294944312
007	V3AB	attend-fix	0.6331694282380457
007	VO	attend-bar	0.5695389176552752
007	VO	attend-fix	0.537451701189367
007	hMT+	attend-bar	0.6311459840778718
007	hMT+	attend-fix	0.6178565661852564
007	iIPS	attend-bar	0.5768956144838255
007	iIPS	attend-fix	0.5871673713691906
007	iPCS	attend-bar	0.5249964255896564
007	iPCS	attend-fix	0.4756278392142236
007	mPCS	attend-bar	0.5130619367709227
007	mPCS	attend-fix	0.487031636222259
007	sIPS	attend-bar	0.5153998545370688
007	sIPS	attend-fix	0.5363479080632655
007	sPCS	attend-bar	0.5189781236117382
007	sPCS	attend-fix	0.5033911358298133
008	LO	attend-bar	0.7191293577331631
008	LO	attend-fix	0.6030106906985925
008	V1	attend-bar	0.5896094486887176
008	V1	attend-fix	0.6494224834737183
008	V2	attend-bar	0.761447943837172
008	V2	attend-fix	0.4601829105840574
008	V3	attend-bar	0.7658977000307696
008	V3	attend-fix	0.7459366816675498
008	V3AB	attend-bar	0.6372213228886752
008	V3AB	attend-fix	0.6631740181254492
008	VO	attend-bar	0.6406244201724267
008	VO	attend-fix	0.6961910965036165
008	hMT+	attend-bar	0.6395397330979111
008	hMT+	attend-fix	0.644043931071302
008	iIPS	attend-bar	0.6914432122199018
008	iIPS	attend-fix	0.6361437077614793
008	iPCS	attend-bar	0.556720400867727
008	iPCS	attend-fix	0.33123661965019535
008	mPCS	attend-bar	0.5452829718080929
008	mPCS	attend-fix	0.4331348388425795
008	sIPS	attend-bar	0.602204259283225
008	sIPS	attend-fix	0.5541231091682601
008	sPCS	attend-bar	0.5246584377383762
008	sPCS	attend-fix	0.559783668254208
