	subject	roi	ab_ref_index	af_ref_index
0	sub-001	V1	0.7829503975881053	0.6129404130971284
1	sub-001	V2	0.6489081420517473	0.6206993853071427
2	sub-001	V3	0.7727306896080701	0.6506852914227871
3	sub-001	V3AB	0.695866674658993	0.6915513594516238
4	sub-001	hMT+	0.8023169318927557	0.7240582252803707
5	sub-001	LO	0.7549197618841366	0.7123292170847014
6	sub-001	VO	0.7063475689533929	0.6406914633137146
7	sub-001	iIPS	0.7101403393098952	0.527053885730346
8	sub-001	sIPS	0.6393005359077799	0.4496873919720802
9	sub-001	iPCS	0.5376041100326168	0.5003768907288433
10	sub-001	sPCS	0.6802897721255023	0.5971441867030364
11	sub-001	mPCS	0.6494458806292704	0.4736760580698207
12	sub-002	V1	0.5996448106958142	0.5894278084872382
13	sub-002	V2	0.6551402802791974	0.6468087438856891
14	sub-002	V3	0.5552996344556597	0.6020457060886035
15	sub-002	V3AB	0.6171398935601685	0.6457277705038296
16	sub-002	hMT+	0.5605293508897022	0.5508187031150108
17	sub-002	LO	0.6068793430423688	0.6129856197439634
18	sub-002	VO	0.5878943410618858	0.5523109824264931
19	sub-002	iIPS	0.520886119934185	0.5235040525258339
20	sub-002	sIPS	0.536421629260639	0.5089827870900716
21	sub-002	iPCS	0.5047923967045852	0.5449363284242911
22	sub-002	sPCS	0.5582367490389495	0.5378825134835794
23	sub-002	mPCS	0.5685145006748588	0.4999766196933576
24	sub-003	V1	0.7245096375094406	0.5536146670890565
25	sub-003	V2	0.7513188838710092	0.7031334173895545
26	sub-003	V3	0.8015952162238041	0.4005847381196545
27	sub-003	V3AB	0.7449740984260613	0.5707314813089182
28	sub-003	hMT+	0.6729735700818691	0.6329647414475036
29	sub-003	LO	0.6987827973182872	0.6076379032722556
30	sub-003	VO	0.6285959000423823	0.5861633597456284
31	sub-003	iIPS	0.640470297582523	0.5743075863370761
32	sub-003	sIPS	0.4745815757750113	0.4564230719441501
33	sub-003	iPCS	0.4058216995062229	0.4422010796789149
34	sub-003	sPCS	0.6934316640278331	0.5710150702714362
35	sub-003	mPCS	0.576576197665776	0.5634603288827144
36	sub-004	V1	0.714521918592059	0.525025393745736
37	sub-004	V2	0.5963830440785858	0.6254938339045891
38	sub-004	V3	0.6927394344002233	0.588818763892475
39	sub-004	V3AB	0.7352079351965507	0.5174081076126728
40	sub-004	hMT+	0.6890244558582678	0.6010293665181409
41	sub-004	LO	0.7961247821828745	0.6531773900471803
42	sub-004	VO	0.6888764644069223	0.6336666264819866
43	sub-004	iIPS	0.6778301716729861	0.6059877362247029
44	sub-004	sIPS	0.5424181516048789	0.5058698082413825
45	sub-004	iPCS	0.5496160614438702	0.542166256040303
46	sub-004	sPCS	0.5698392579508308	0.5292049520151947
47	sub-004	mPCS	0.5762585051970819	0.5013700605109498
48	sub-005	V1	0.5948770742018676	0.5001662340130051
49	sub-005	V2	0.7294989773482755	0.6620988238373794
50	sub-005	V3	0.7170687688151054	0.6712012307442425
51	sub-005	V3AB	0.6930946561921333	0.6580964645050134
52	sub-005	hMT+	0.5770553404052461	0.593055082133942
53	sub-005	LO	0.6963504867537496	0.6161361056157163
54	sub-005	VO	0.6013531222372854	0.6183960568938286
55	sub-005	iIPS	0.5181738000941054	0.4130173581158905
56	sub-005	sIPS	0.5042357812942898	0.5201388748129911
57	sub-005	iPCS	0.4947843075241932	0.4250513716200174
58	sub-005	sPCS	0.5912988962876224	0.5320939390308581
59	sub-005	mPCS	0.5555260448554412	0.4841775206687551
60	sub-006	V1	0.6986022438558683	0.6126936192159372
61	sub-006	V2	0.7371047685255689	0.6367704840312652
62	sub-006	V3	0.7816353167142754	0.6972561115827247
63	sub-006	V3AB	0.7716686252262114	0.6402691676004408
64	sub-006	hMT+	0.747102948550682	0.6237241711720801
65	sub-006	LO	0.6343919851735862	0.6142280668874273
66	sub-006	VO	0.523962088108539	0.513469054667126
67	sub-006	iIPS	0.7013769763689376	0.5634380342252221
68	sub-006	sIPS	0.5361496618156567	0.50743219219938
69	sub-006	iPCS	0.5026069476840337	0.5176748995269361
70	sub-006	sPCS	0.6289562673304504	0.5206993358887044
71	sub-006	mPCS	0.5499498313391482	0.5237101287964139
72	sub-007	V1	0.6826360327640015	0.6611813541865678
73	sub-007	V2	0.5466636828927897	0.5266828367521207
74	sub-007	V3	0.5371564328985413	0.6197926706941456
75	sub-007	V3AB	0.6686623902268268	0.6310903632397097
76	sub-007	hMT+	0.5962160294944312	0.6331694282380457
77	sub-007	LO	0.5695389176552752	0.537451701189367
78	sub-007	VO	0.6311459840778718	0.6178565661852564
79	sub-007	iIPS	0.5768956144838255	0.5871673713691906
80	sub-007	sIPS	0.5249964255896564	0.4756278392142236
81	sub-007	iPCS	0.5130619367709227	0.487031636222259
82	sub-007	sPCS	0.5153998545370688	0.5363479080632655
83	sub-007	mPCS	0.5189781236117382	0.5033911358298133
84	sub-008	V1	0.7191293577331631	0.6030106906985925
85	sub-008	V2	0.5896094486887176	0.6494224834737183
86	sub-008	V3	0.761447943837172	0.4601829105840574
87	sub-008	V3AB	0.7658977000307696	0.7459366816675498
88	sub-008	hMT+	0.6372213228886752	0.6631740181254492
89	sub-008	LO	0.6406244201724267	0.6961910965036165
90	sub-008	VO	0.6395397330979111	0.644043931071302
91	sub-008	iIPS	0.6914432122199018	0.6361437077614793
92	sub-008	sIPS	0.556720400867727	0.3312366196501953
93	sub-008	iPCS	0.5452829718080929	0.4331348388425795
94	sub-008	sPCS	0.602204259283225	0.5541231091682601
95	sub-008	mPCS	0.5246584377383762	0.559783668254208
