	roi	ab_ref_index_mean	ab_ref_index_sem	af_ref_index_mean	af_ref_index_sem	ab_af_diff	ab_af_p_val_unilateral	ab_af_p_text_unilateral	ab_af_p_val_bilateral	ab_af_p_text_bilateral
0	V1	0.5103390604715583	0.037545742775377096	0.43394017498735116	0.04295479616117681	0.07639888548420715	0.0	p < 0.0001	0.0	p < 0.0001
0	V2	0.4175482980004852	0.03729495945005884	0.29760155708577263	0.037990524312918876	0.11994674091471258	0.00390625	p < 0.01	0.0078125	p < 0.01
0	V3	0.4127677270038851	0.040355043466663354	0.2874192258516778	0.049121015055018806	0.1253485011522073	0.0	p < 0.0001	0.0	p < 0.0001
0	V3AB	0.4157208919158841	0.025711245856465552	0.30315724656371135	0.033671376908081425	0.11256364535217278	0.00390625	p < 0.01	0.0078125	p < 0.01
0	hMT+	0.38591157765483697	0.03418409954183459	0.3256973485246356	0.03608144431911315	0.06021422913020136	0.0078125	p < 0.01	0.015625	p < 0.05
0	LO	0.37979291720977226	0.030876347530152157	0.3611341881656296	0.04223885842327285	0.018658729044142675	0.23828125	p = 0.24	0.4765625	p = 0.48
0	VO	0.4224914210134134	0.0379739638002424	0.318880482298617	0.0408238544215406	0.10361093871479643	0.0	p < 0.0001	0.0	p < 0.0001
0	iIPS	0.3283921577814267	0.03973019339092221	0.2692152065012063	0.04397475018485827	0.059176951280220436	0.0078125	p < 0.01	0.015625	p < 0.05
0	sIPS	0.33937411121399264	0.03449517017559057	0.27363338964746853	0.03579162069754589	0.06574072156652411	0.00390625	p < 0.01	0.0078125	p < 0.01
0	iPCS	0.2481840586363877	0.038657721900322024	0.21193155122877738	0.03343133678956653	0.036252507407610324	0.0078125	p < 0.01	0.015625	p < 0.05
0	sPCS	0.28498112515271434	0.0332937282816063	0.22620450755556698	0.03368094098432112	0.05877661759714736	0.00390625	p < 0.01	0.0078125	p < 0.01
0	mPCS	0.18133742536522302	0.028541007464861413	0.15199409607960213	0.02501763218567538	0.02934332928562089	0.01171875	p < 0.05	0.0234375	p < 0.05
